year	paper-Name	author
	Are Mutants a Valid Substitute for Real Faults in Software Testing?	René Just, University of Washington;Darioush Jalali, University of Washington ;Laura Inozemtseva, University of Waterloo ;Michael Ernst, University of Washington ;Reid Holmes, University of Waterloo ;Gordon Fraser, University of Sheffield
2012	Seeking the Ground Truth: A Retroactive Study on the Evolution and Migration of Software Libraries	Bradley Cossette & Robert Walker, University of Calgary
	Scalable Test Data Generation from Multidimensional Models	Emina Torlak, University of California, Berkeley
	Assessing the Value of Branches with What-if Analysis	Christian Bird & Thomas Zimmermann, Microsoft
2011	Proving programs robust	Swarat Chaudhuri, Rice University;Sumit Gulwani, Microsoft ;Roberto Lublinerman, Pennsylvania State University ;Sara Navidpour, Pennsylvania State University
	How Do Fixes Become Bugs?	Zuoning Yin, University of Illinois at Urbana–Champaign;Ding Yuan, University of Illinois at Urbana–Champaign ;Yuanyuan Zhou, University of California, San Diego ;Shankar Pasupathy, NetApp ;Lakshmi Bairavasundaram, NetApp
	Proactive Detection of Collaboration Conflicts	Yuriy Brun, University of Washington;Reid Holmes, University of Waterloo ;Michael D. Ernst, University of Washington ;David Notkin, University of Washington
2010	Staged Concurrent Program Analysis	Nishant Sinha & Chao Wang, NEC Labs America
	Developer Fluency: Achieving True Mastery in Software Projects	Minghui Zhou, Peking University ;Audris Mockus, Avaya Labs
	Creating and evolving developer documentation: understanding the decisions of open source contributors	Barthélémy Dagenais & Martin P. Robillard, McGill University
2009	Asserting and checking determinism for multithreaded programs	Jacob Burnim & Koushik Sen, University of California, Berkeley
	Darwin: an approach for debugging evolving programs	Dawei Qi, National University of Singapore;Abhik Roychoudhury, National University of Singapore ;Zhenkai Liang, National University of Singapore ;Kapil Vaswani, Microsoft
	Graph-based Mining of Multiple Object Usage Patterns	Tung Thanh Nguyen, Iowa State University;Hoan Anh Nguyen, Iowa State University ;Nam H. Pham, Iowa State University ;Jafar M. Al-Kofahi, Iowa State University ;Tien N. Nguyen, Iowa State University
2008	Efficient online monitoring of web-service SLAs	Franco Raimondi, University College London;James Skene, University College London ;Wolfgang Emmerich, University College London
	What makes a good bug report?	Nicolas Bettenburg, Saarland University;Sascha Just, Saarland University ;Adrian Schröter, University of Victoria ;Cathrin Weiss, University of Zurich ;Rahul Premraj, Saarland University ;Thomas Zimmermann, University of Calgary
2007	Globally distributed software development project performance: an empirical analysis	Narayan Ramasubbu & Rajesh Krishna Balan, Singapore Management University
	Mining specifications of malicious behavior	Mihai Christodorescu, University of Wisconsin–Madison;Somesh Jha, University of Wisconsin–Madison ;Christopher Kruegel, TU Wien
	Automatic consistency assessment for query results in dynamic environments	Jamie Payton, University of North Carolina at Charlotte;Christine Julien, University of Texas at Austin ;Gruia-Catalin Roman, Washington University in St. Louis
	Object and reference immutability using Java generics	Yoav Zibin, Massachusetts Institute of Technology;Alex Potanin, Victoria University of Wellington ;Mahmood Ali, Massachusetts Institute of Technology ;Shay Artzi, Massachusetts Institute of Technology ;Adam Kieżun, Massachusetts Institute of Technology ;Michael D. Ernst, Massachusetts Institute of Technology
2006	Controlling factors in evaluating path-sensitive error detection techniques	Matthew B. Dwyer, University of Nebraska–Lincoln;Suzette Person, University of Nebraska–Lincoln ;Sebastian Elbaum, University of Nebraska–Lincoln
	SYNERGY: a new algorithm for property checking	Bhargav S. Gulavani, Indian Institute of Technology Kanpur;Thomas A. Henzinger, École Polytechnique Fédérale de Lausanne ;Yamini Kannan, Microsoft ;Aditya V. Nori, Microsoft ;Sriram K. Rajamani, Microsoft
2005	Automatic Generation of Suggestions for Program Investigation	Martin P. Robillard, McGill University
	Context- and path-sensitive memory leak detection	Yichen Xie & Alex Aiken, Stanford University
	CUTE: a concolic unit testing engine for C	Koushik Sen, University of Illinois at Urbana–Champaign;Darko Marinov, University of Illinois at Urbana–Champaign ;Gul Agha, University of Illinois at Urbana–Champaign
2004	A Classification System and Analysis for Aspect-Oriented Programs	Martin Rinard, Massachusetts Institute of Technology;Alexandru Salcianu, Massachusetts Institute of Technology ;Suhabe Bugrara, Massachusetts Institute of Technology
	Reasoning about partial goal satisfaction for requirements and design engineering	Emmanuel Letier & Axel van Lamsweerde, Université catholique de Louvain
2003	Predicting Problems Caused by Component Upgrades	Stephen McCamant & Michael D. Ernst, Massachusetts Institute of Technology
	A Family of Test Adequacy Criteria for Database-Driven Applications	Gregory M. Kapfhammer & Mary Lou Soffa, University of Pittsburgh
	Eliminating redundancies with a "composition with adaptation" meta-programming technique	Stan Jarzabek, National University of Singapore ;Li Shubiao, Xi'an Jiaotong University
2002	Isolating Cause-Effect Chains from Computer Programs	Andreas Zeller, Saarland University
ICCV (Computer Vision)		
2021	Swin Transformer: Hierarchical Vision Transformer using Shifted Windows	Ze Liu, Microsoft;Yutong Lin, Microsoft ;Yue Cao, Microsoft ;Han Hu, Microsoft ;Yixuan Wei, Microsoft ;Zheng Zhang, Microsoft ;Stephen Lin, Microsoft ;Baining Guo, Microsoft
2019	SinGAN: Learning a Generative Model from a Single Natural Image	Tamar Rott Shaham, Technion – Israel Institute of Technology;Tali Dekel, Google ;Tomar Michaeli, Technion – Israel Institute of Technology
2017	Mask R-CNN	Kaiming He, Facebook;Georgia Gkioxari, Facebook ;Piotr Dollar, Facebook ;Ross Girshick, Facebook
2015	Deep Neural Decision Forests	Peter Kontschieder, Microsoft;Madalina Fiterau, Carnegie Mellon University ;Antonio Criminisi, Microsoft ;Samuel Rota Bulò, Microsoft
2013	From Large Scale Image Categorization to Entry-Level Categories	Vicente Ordonez, University of North Carolina at Chapel Hill;Jia Deng, Stanford University ;Yejin Choi, Stony Brook University ;Alexander Berg, University of North Carolina at Chapel Hill ;Tamara Berg, University of North Carolina at Chapel Hill
2011	Relative Attributes	Devi Parikh, Toyota Technological Institute at Chicago ;Kristen Grauman, University of Texas at Austin
2009	Discriminative models for multi-class object layout	Chaitanya Desai, University of California, Irvine;Deva Ramanan, University of California, Irvine ;Charless Fowlkes, University of California, Irvine
2007	Population Shape Regression From Random Design Data	Bradley Davis, University of North Carolina at Chapel Hill;P. Thomas Fletcher, University of Utah ;Elizabeth Bullitt, University of North Carolina at Chapel Hill ;Sarang Joshi, University of Utah
2005	Globally Optimal Estimates for Geometric Reconstruction Problems	Fredrik Kahl, Lund University ;Didier Henrion, Laboratory for Analysis and Architecture of Systems
2003	Image-based Rendering using Image-based Priors	Andrew Fitzgibbon, University of Oxford;Yonatan Wexler, Weizmann Institute of Science ;Andrew Zisserman, University of Oxford
	Image Parsing: Unifying Segmentation, Detection and Recognition	Zhuowen Tu, University of California, Los Angeles;Xiangrong Chen, University of California, Los Angeles ;Alan L. Yuille, University of California, Los Angeles ;Song-Chun Zhu, University of California, Los Angeles
	Detecting Pedestrians using Patterns of Motion and Appearance	Paul Viola, Microsoft;Michael J. Jones, Mitsubishi Electric Research Laboratories ;Daniel Snow, Mitsubishi Electric Research Laboratories
2001	Probabilistic Tracking with Exemplars in a Metric Space	Kentaro Toyama & Andrew Blake, Microsoft
	The Space of All Stereo Images	Steven Seitz, University of Washington
1999	A Theory of Shape by Space Carving	Kiriakos Kutulakos, University of Rochester ;Steven Seitz, Carnegie Mellon University
	Euclidean Reconstruction and Reprojection up to Subgroups	Yi Ma, University of California, Berkeley;Stefano Soatto, Washington University in St. Louis ;Jana Kosecka, University of California, Berkeley ;Shankar Sastry, University of California, Berkeley
1998	Self-Calibration and Metric Reconstruction in spite of Varying and Unknown Internal Camera Parameters	Marc Pollefeys, Katholieke Universiteit Leuven;Reinhard Koch, Katholieke Universiteit Leuven ;Luc Van Gool, Katholieke Universiteit Leuven
	The Problem of Degeneracy in Structure and Motion Recovery from Uncalibrated Image Sequences	Phil Torr, Microsoft;Andrew Fitzgibbon, University of Oxford ;Andrew Zisserman, University of Oxford
ICML (Machine Learning)		
2021	Unbiased Gradient Estimation in Unrolled Computation Graphs with Persistent Evolution Strategies	Paul Vicol, University of Toronto;Luke Metz, Google ;Jascha Sohl-Dickstein, Google
2020	On Learning Sets of Symmetric Elements	Haggai Maron, NVIDIA Research;Or Litany, Stanford University ;Gal Chechik, Stanford University ;Ethan Fetaya, Stanford University
	Tuning-free Plug-and-Play Proximal Algorithm for Inverse Imaging Problems	Kiaxuan Wei, Beijing Institute of Technology;Angelica Aviles-Rivero, University of Cambridge ;Jingwei Liang, University of Cambridge ;Ying Fu, Beijing Institute of Technology ;Carola-Bibiane Schonlieb, University of Cambridge ;Hua Huang, Beijing Institute of Technology
2019	Challenging Common Assumptions in the Unsupervised Learning of Disentangled Representations	Francesco Locatello, ETH Zurich;Stefan Bauer, Max Planck Institute for Intelligent Systems ;Mario Lucic, Google ;Gunnar Rätsch, ETH Zurich ;Sylvain Gelly, Google ;Bernhard Schölkopf, Max Planck Institute for Intelligent Systems ;Olivier Bachem, Google
	Rates of Convergence for Sparse Variational Gaussian Process Regression	David R. Burt, University of Cambridge;Carl E. Rasmussen, University of Cambridge ;Mark van der Wilk, PROWLER.io
2018	Obfuscated Gradients Give a False Sense of Security: Circumventing Defenses to Adversarial Examples	Anish Athalye, Massachusetts Institute of Technology;Nicholas Carlini, University of California, Berkeley ;David Wagner, University of California, Berkeley
	Delayed Impact of Fair Machine Learning	Lydia T. Liu, University of California, Berkeley;Sarah Dean, University of California, Berkeley ;Esther Rolf, University of California, Berkeley ;Max Simchowitz, University of California, Berkeley ;Moritz Hardt, University of California, Berkeley
2017	Understanding Black-box Predictions via Influence Functions	Pang Wei Koh & Percy Liang, Stanford University
2016	Dueling Network Architectures for Deep Reinforcement Learning	Ziyu Wang, Google;Tom Schaul, Google ;Matteo Hessel, Google ;Hado van Hasselt, Google ;Marc Lanctot, Google ;Nando de Freitas, University of Oxford
	Pixel Recurrent Neural Networks	Aaron Van den Oord, Google;Nal Kalchbrenner, Google ;Koray Kavukcuoglu, Google
	Ensuring Rapid Mixing and Low Bias for Asynchronous Gibbs Sampling	Christopher De Sa, Stanford University;Chris Re, Stanford University ;Kunle Olukotun, Stanford University
2015	Optimal and Adaptive Algorithms for Online Boosting	Alina Beygelzimer, Yahoo;Satyen Kale, Yahoo ;Haipeng Luo, Princeton University
	A Nearly-Linear Time Framework for Graph-Structured Sparsity	Chinmay Hegde, Massachusetts Institute of Technology;Piotr Indyk, Massachusetts Institute of Technology ;Ludwig Schmid, Massachusetts Institute of Technology
2014	Understanding the Limiting Factors of Topic Modeling via Posterior Contraction Analysis	Jian Tang, Peking University;Zhaoshi Meng, University of Michigan ;XuanLong Nguyen, University of Michigan ;Qiaozhu Mei, University of Michigan ;Ming Zhang, Peking University
2013	Fast Semidifferential-based Submodular Function Optimization	Rishabh Iyer, University of Washington;Stefanie Jegelka, University of California, Berkeley ;Jeff Bilmes, University of Washington
	Vanishing Component Analysis	Roi Livni, The Hebrew University of Jerusalum;David Lehavi, Hewlett Packard ;Sagi Schein, Hewlett Packard ;Hila Nachlieli, Hewlett Packard ;Shai Shalev Shwartz, The Hebrew University of Jerusalum ;Amir Globerson, The Hebrew University of Jerusalum
2012	Bayesian Posterior Sampling via Stochastic Gradient Fisher Scoring	Sungjin Ahn, University of California, Irvine;Anoop Korattikara, University of California, Irvine ;Max Welling, University of California, Irvine
2011	Computational Rationalization: The Inverse Equilibrium Problem	Kevin Waugh, Carnegie Mellon University;Brian Ziebart, Carnegie Mellon University ;Drew Bagnell, Carnegie Mellon University
2010	Hilbert Space Embeddings of Hidden Markov Models	Le Song, Carnegie Mellon University;Byron Boots, Carnegie Mellon University ;Sajid M. Siddiqi, Google ;Geoffrey Gordon, Carnegie Mellon University ;Alex Smola, Yahoo
2009	Structure preserving embedding	Blake Shaw & Tony Jebara, Columbia University
2008	SVM Optimization: Inverse Dependence on Training Set Size	Shai Shalev-Shwartz & Nathan Srebro, Toyota Technological Institute at Chicago
2007	Information-theoretic metric learning	Jason V. Davis, University of Texas at Austin;Brian Kulis, University of Texas at Austin ;Prateek Jain, University of Texas at Austin ;Suvrit Sra, University of Texas at Austin ;Inderjit S. Dhillon, University of Texas at Austin
2006	Trading convexity for scalability	Ronan Collobert, NEC Labs America;Fabian Sinz, NEC Labs America ;Jason Weston, NEC Labs America ;Léon Bottou, NEC Labs America
2005	A support vector method for multivariate performance measures	Thorsten Joachims, Cornell University
1999	Least-Squares Temporal Difference Learning	Justin A. Boyan, NASA
ICSE (Software Engineering)		
